CountryCode,ProjYear,p20,p80
VNM,2012,3.79649482113081,10.5812082308983
PSE,2012,6.02698181090456,16.2441775049965
YEM,2012,2.02722186734131,5.37856285698934
ZMB,2012,0.684246075971377,
ZWE,2012,1.9336669706703,7.05259858834019
ALB,2013,4.22557838135826,11.0699477163476
DZA,2013,5.11576658077238,11.1818319736955
AGO,2013,,5.03805157623401
ARG,2013,,
ARM,2013,3.80976660055231,
AUS,2013,29.2989746809109,76.3961151285257
AUT,2013,31.1336097450232,74.0168851798411
AZE,2013,13.4741305168262,25.9085402788208
BGD,2013,,
BLR,2013,12.2177917089973,25.7755806972624
BEL,2013,28.5344001034365,63.4395904954999
BLZ,2013,2.66387803450769,11.5862232252819
BEN,2013,,3.45165100379261
BTN,2013,3.84468527595623,11.5507983058845
BOL,2013,4.49218594813789,19.9996695441763
BIH,2013,,27.5925992527172
BWA,2013,2.30503027478492,12.2455496359058
BRA,2013,5.63366825573695,25.6070188831454
BGR,2013,8.17852834010504,22.6062818719109
BFA,2013,1.35257790380473,3.41062271941115
BDI,2013,0.807991048883404,2.23562904377437
CPV,2013,3.37454962571199,12.1869884168551
CMR,2013,1.53813141793664,6.40896257111332
CAN,2013,29.0449048160606,79.8644176630489
CAF,2013,0.471124869886715,2.1720537612105
TCD,2013,,4.8223975298261
CHL,2013,8.35180545697814,27.2227864157788
CHN,2013,3.96859606758761,13.0272518411011
COL,2013,3.91452837355471,18.0162676183517
COM,2013,,8.01020525581157
COD,2013,0.614555280705574,
COG,2013,1.19587368467664,5.14891821025447
CRI,2013,7.09803239613824,31.439350767151
CIV,2013,1.4068644754433,4.76562236935276
HRV,2013,9.06483686359536,24.1186946075266
CYP,2013,21.3491194326443,53.3609936826618
CZE,2013,17.2059675626648,
DNK,2013,31.8658499871947,67.3510342704857
DJI,2013,1.80619527826274,6.3156080592175
DOM,2013,4.32516123504133,16.3400866080532
ECU,2013,4.57659856334134,18.3659877168358
EGY,2013,3.2377102007931,6.68358095732345
SLV,2013,3.93971758495082,
EST,2013,13.6786420980149,36.3555707401494
SWZ,2013,,7.20772210720658
ETH,2013,1.53008056920732,
FJI,2013,4.28305816567528,11.4532968479457
FIN,2013,30.0622573732024,64.612292783642
FRA,2013,,66.8097071255596
GAB,2013,3.58733001264402,12.5189999345914
GMB,2013,1.98343476257175,5.99672208436189
GEO,2013,3.13759464896098,9.95134709543269
DEU,2013,28.3372708351868,69.3909286747532
GHA,2013,,
GRC,2013,9.89765782212316,29.3485445369532
GTM,2013,2.8077695647068,11.1759501995739
GIN,2013,1.46645186634875,3.86458031932569
GNB,2013,99.99940397351,99.99940397351
GUY,2013,4.02920736583693,14.7046236670866
HTI,2013,1.69239238296103,5.75981890252158
HND,2013,2.04733048911496,10.5309496689813
HUN,2013,10.4335228345637,26.0669749989889
ISL,2013,29.3887630059009,59.8573742899408
IND,2013,1.92958121094048,4.69883878160127
IDN,2013,2.43526630844819,
IRN,2013,7.16837704410618,20.9247363417571
IRQ,2013,3.66061367616059,8.62560316227619
IRL,2013,21.7398115503002,56.9862195917637
ISR,2013,12.8483845834604,48.4080946203913
ITA,2013,19.7376254140885,54.7890798479526
JAM,2013,4.24978283988381,15.2012845332247
JPN,2013,25.6143673904016,
JOR,2013,,14.6422118941069
KAZ,2013,7.61426177201948,16.5302667018756
KEN,2013,1.32476348730492,4.38663411788719
KIR,2013,2.33116395653887,6.37014717481067
KOR,2013,21.4855593994095,53.8504086658324
XKX,2013,4.98322989166068,10.3730429223635
KGZ,2013,3.13027391630925,7.00904309958114
LAO,2013,1.90176945318921,4.97887986330521
LVA,2013,10.0529209517785,27.3461046720433
LBN,2013,12.4355914195452,31.5548908480064
LSO,2013,1.37696617176729,6.21484372293962
LBR,2013,1.27679211345273,3.4027371868559
LTU,2013,10.2859888604164,28.1077165417319
LUX,2013,36.7440894040324,99.4366784268082
MDG,2013,99.99940397351,99.99940397351
MWI,2013,0.757664941001734,2.31881871728663
MYS,2013,10.0842968345226,33.507101320404
MDV,2013,7.39619939665357,19.5009380071496
MLI,2013,,
MLT,2013,22.9292806039949,51.7470430244925
MRT,2013,2.81064576099,7.625672696971
MUS,2013,5.85354608132804,15.5650419861844
MEX,2013,,12.8715355484944
FSM,2013,2.18085306102056,7.20352386535938
MDA,2013,5.56821018820154,12.7019065200981
MNG,2013,5.46097481126119,14.1359610956901
MNE,2013,7.20888897379202,19.0665291604313
MAR,2013,4.53658019277341,
MOZ,2013,0.764727720637221,2.81277269276975
MMR,2013,2.61906237872305,
NAM,2013,2.12328669989167,11.4600886404528
NPL,2013,2.44008681490294,6.14531042176807
NLD,2013,28.7978504232233,62.5377486900047
NIC,2013,3.64471849576942,12.5894030719209
NER,2013,1.29543869909298,
NGA,2013,1.11024770528824,3.7167588966612
MKD,2013,4.28316130417954,14.5989238742099
NOR,2013,42.9116045073177,91.0518204147879
PAK,2013,2.39866360438812,5.32840871268041
PAN,2013,5.86426370149403,28.4683049735226
PNG,2013,1.27582503113905,4.71880399278321
PRY,2013,5.62142008924307,22.8168947769309
PER,2013,4.52861297859749,17.4632533960601
PHL,2013,2.48566621581502,7.90099376921069
POL,2013,8.7672334663166,22.5035417057753
PRT,2013,12.4017032139769,34.3128274186623
ROU,2013,5.64216841957089,12.9332933706082
RUS,2013,9.49721468532055,29.2724386604016
RWA,2013,0.983808700530576,
WSM,2013,,
STP,2013,,4.06807347718615
SEN,2013,,4.2818932463127
SRB,2013,6.6575034773389,15.5806861378619
SYC,2013,8.86746831723168,
SLE,2013,,
SVK,2013,13.6229461714133,29.7625912044305
SVN,2013,20.4913101841245,42.5779579272304
SLB,2013,1.71280381958489,4.8103835764196
ZAF,2013,2.06576289426495,14.4153091155205
SSD,2013,0.524407804759342,2.41404320242814
ESP,2013,,49.5632574796465
LKA,2013,3.47617412040661,9.55148899633049
LCA,2013,4.80928505415294,21.5848475386929
SDN,2013,2.28791725709304,5.96364698174278
SUR,2013,,14.5989429412334
SWE,2013,30.5918026294202,69.7069148065069
CHE,2013,38.1982027822762,92.246120938311
SYR,2013,2.74079006480413,7.32085565388613
TWN,2013,22.2772311102834,
TJK,2013,3.28043849119126,
TZA,2013,,3.29842347958659
THA,2013,6.72184839428886,20.305966277034
TLS,2013,,3.83796386096739
TGO,2013,0.921549640361146,3.74366718015345
TON,2013,4.54908514578376,13.0453309409627
TTO,2013,10.5438997485865,36.6674212851881
TUN,2013,5.22140530102955,14.2566100887778
TUR,2013,7.38022058028705,23.6565027741143
TKM,2013,3.20557931089421,10.532401784691
TUV,2013,,10.7514386332935
UGA,2013,1.42164270505326,4.24622820073081
UKR,2013,8.69172915633721,
ARE,2013,33.0205167809906,99.99940397351
GBR,2013,,61.2381256219514
USA,2013,25.5419677169083,
URY,2013,10.1418886941278,35.1232445948321
UZB,2013,1.89409877211344,4.81406402529587
VUT,2013,2.251324764563,6.64066025370158
VEN,2013,4.32900642702054,17.9797284002728
VNM,2013,3.96474369491122,10.8559732955283
PSE,2013,5.54186940139736,15.1265175163883
YEM,2013,2.07138804901689,5.55398537891508
ZMB,2013,0.676229560823687,3.65827892467294
ZWE,2013,1.79618737936896,6.70666887765629
ALB,2014,,
DZA,2014,5.23329454978947,11.4389502283766
AGO,2014,1.18454405992548,
ARG,2014,,
ARM,2014,3.80446804080504,8.92728340718927
AUS,2014,29.8160045436205,77.459225776918
AUT,2014,30.4646286149265,72.6130194626414
AZE,2014,,
BGD,2014,2.03152191248926,4.80021062263455
BLR,2014,12.4797998480412,26.8748777748406
BEL,2014,28.5533136367673,63.4770674168164
BLZ,2014,2.6142006605445,11.4930186364093
BEN,2014,,3.49103407850238
BTN,2014,,11.608809337676
BOL,2014,4.72507448506965,19.3460243571694
BIH,2014,,28.6207809453679
BWA,2014,2.31658873529265,11.9787646186173
BRA,2014,,26.5552211089399
BGR,2014,8.62129732848056,24.0517219613742
BFA,2014,1.39822416407898,3.44284661787874
BDI,2014,,
CPV,2014,3.44394897285242,12.3700112315205
CMR,2014,1.61789595442698,6.96873575711471
CAN,2014,29.3971586432212,80.6347827086898
CAF,2014,,2.16538632970017
TCD,2014,1.3246041216645,4.98849785630935
CHL,2014,,28.1540094748877
CHN,2014,4.33644584242694,14.0964781751499
COL,2014,,18.8082236147767
COM,2014,1.94406611191671,7.88745698813058
COD,2014,0.650828619656255,2.24102889978308
COG,2014,1.24637478399999,5.37433831483751
